Description ,Quantity,Price
Passport size Photos,4,600
Passport size Photos,8,900
4 x 6 inches Photo with print,1,400
5 x 7 inches Photo with print,1,500
A4 8 x 10 inches Photo with print,1,600
Photo without print,1,300
,,
Passport size Photos Print only,4,300
Passport size Photos Print only,8,400
4 x 6 inches Photo Print (1200 x 1800) pixels,1,100
5 x 7 inches Photo Print (1500 x 2100) pixels,1,250
A4 8 x 10 inches Photo Print (2400 x 3000) pixels,1,300
A3 Photo Print (4961 x 3508) pixels,1,1200
,,
,,
,,
,,
A2 Photo print,1,1500
5 x 7 inches Photo Frame,1,1000
A4 size glossy Photo Frame,1,1500
A3 size Photo Frame,1,2500
A2 size Photo Frame,1,4500
Cinematic Portrait Video (30-50 Seconds),1,5000
Instagram / TikTok Reels / Shorts (30-50 Seconds),1,5000
Outdoor pre-wedding Shoot � (02:00 � 2:30 Seconds) 2-3 Locations with different dresses,1,40000
Digital Graphics Videos / Ads (10:00 � 15:00 Seconds),1,10000
Commercial/Cooperative Video (02� 02:50 Seconds),1,15000
Event Shoot (03:00 � 05:00 Hours) Highlight,1,10000
Event Shoot (03:00 � 05:00 Hours) Master,1,15000
Song Shoot (Per Day),1,20000
TVC Project (10:00 - 15:00 Sec),1,35000
School / Short films Projects (05:00 � 10:00 Minutes),1,25000
Cooperative Video (02:00 � 02:50 Seconds),1,20000
Birthday/Family Function (Per event),1,10000
Product Video Shoot (30:00 � 45:00 Seconds),1,5000
Textile Video/reel per dress,1,7000
